Seed,Model,Attack,Epsilon,Accuracy
42,Baseline,Clean,0.0,86.41
42,Baseline,FGSM,0.0,86.41
42,Baseline,FGSM,0.01,73.09
42,Baseline,FGSM,0.02,59.75
42,Baseline,FGSM,0.03,48.45
42,Baseline,FGSM,0.05,32.13
42,Baseline,FGSM,0.08,18.42
42,Baseline,FGSM,0.1,13.52
42,Baseline,FGSM,0.15,7.38
42,Baseline,FGSM,0.2,5.15
42,Baseline,FGSM,0.3,4.03
42,Baseline,PGD-5,0.0,86.41
42,Baseline,PGD-5,0.01,71.81
42,Baseline,PGD-5,0.02,54.15
42,Baseline,PGD-5,0.03,37.73
42,Baseline,PGD-5,0.05,16.13
42,Baseline,PGD-5,0.08,4.02
42,Baseline,PGD-5,0.1,1.57
42,Baseline,PGD-5,0.15,0.15
42,Baseline,PGD-5,0.2,0.05
42,Baseline,PGD-5,0.3,0.0
42,Baseline,PGD-20,0.0,86.41
42,Baseline,PGD-20,0.01,71.56
42,Baseline,PGD-20,0.02,53.22
42,Baseline,PGD-20,0.03,35.57
42,Baseline,PGD-20,0.05,13.5
42,Baseline,PGD-20,0.08,2.56
42,Baseline,PGD-20,0.1,0.88
42,Baseline,PGD-20,0.15,0.05
42,Baseline,PGD-20,0.2,0.02
42,Baseline,PGD-20,0.3,0.0
42,FGSM-AT,Clean,0.0,85.65
42,FGSM-AT,FGSM,0.0,85.65
42,FGSM-AT,FGSM,0.01,80.63
42,FGSM-AT,FGSM,0.02,75.29
42,FGSM-AT,FGSM,0.03,70.02
42,FGSM-AT,FGSM,0.05,59.13
42,FGSM-AT,FGSM,0.08,44.44
42,FGSM-AT,FGSM,0.1,36.58
42,FGSM-AT,FGSM,0.15,22.38
42,FGSM-AT,FGSM,0.2,14.15
42,FGSM-AT,FGSM,0.3,6.74
42,FGSM-AT,PGD-5,0.0,85.65
42,FGSM-AT,PGD-5,0.01,80.47
42,FGSM-AT,PGD-5,0.02,74.62
42,FGSM-AT,PGD-5,0.03,67.94
42,FGSM-AT,PGD-5,0.05,53.87
42,FGSM-AT,PGD-5,0.08,33.83
42,FGSM-AT,PGD-5,0.1,23.19
42,FGSM-AT,PGD-5,0.15,7.71
42,FGSM-AT,PGD-5,0.2,2.12
42,FGSM-AT,PGD-5,0.3,0.17
42,FGSM-AT,PGD-20,0.0,85.65
42,FGSM-AT,PGD-20,0.01,80.44
42,FGSM-AT,PGD-20,0.02,74.53
42,FGSM-AT,PGD-20,0.03,67.68
42,FGSM-AT,PGD-20,0.05,53.13
42,FGSM-AT,PGD-20,0.08,32.32
42,FGSM-AT,PGD-20,0.1,21.47
42,FGSM-AT,PGD-20,0.15,6.16
42,FGSM-AT,PGD-20,0.2,1.44
42,FGSM-AT,PGD-20,0.3,0.05
42,PGD-AT,Clean,0.0,83.89
42,PGD-AT,FGSM,0.0,83.89
42,PGD-AT,FGSM,0.01,79.82
42,PGD-AT,FGSM,0.02,75.57
42,PGD-AT,FGSM,0.03,71.03
42,PGD-AT,FGSM,0.05,62.15
42,PGD-AT,FGSM,0.08,49.1
42,PGD-AT,FGSM,0.1,41.49
42,PGD-AT,FGSM,0.15,27.23
42,PGD-AT,FGSM,0.2,17.53
42,PGD-AT,FGSM,0.3,7.82
42,PGD-AT,PGD-5,0.0,83.89
42,PGD-AT,PGD-5,0.01,79.7
42,PGD-AT,PGD-5,0.02,74.99
42,PGD-AT,PGD-5,0.03,69.66
42,PGD-AT,PGD-5,0.05,58.76
42,PGD-AT,PGD-5,0.08,41.48
42,PGD-AT,PGD-5,0.1,30.79
42,PGD-AT,PGD-5,0.15,12.61
42,PGD-AT,PGD-5,0.2,4.26
42,PGD-AT,PGD-5,0.3,0.33
42,PGD-AT,PGD-20,0.0,83.89
42,PGD-AT,PGD-20,0.01,79.7
42,PGD-AT,PGD-20,0.02,74.91
42,PGD-AT,PGD-20,0.03,69.46
42,PGD-AT,PGD-20,0.05,58.31
42,PGD-AT,PGD-20,0.08,40.47
42,PGD-AT,PGD-20,0.1,29.45
42,PGD-AT,PGD-20,0.15,10.76
42,PGD-AT,PGD-20,0.2,3.2
42,PGD-AT,PGD-20,0.3,0.14
123,Baseline,Clean,0.0,86.57
123,Baseline,FGSM,0.0,86.57
123,Baseline,FGSM,0.01,73.12
123,Baseline,FGSM,0.02,59.91
123,Baseline,FGSM,0.03,48.43
123,Baseline,FGSM,0.05,31.67
123,Baseline,FGSM,0.08,17.74
123,Baseline,FGSM,0.1,12.99
123,Baseline,FGSM,0.15,6.78
123,Baseline,FGSM,0.2,4.47
123,Baseline,FGSM,0.3,3.61
123,Baseline,PGD-5,0.0,86.57
123,Baseline,PGD-5,0.01,71.53
123,Baseline,PGD-5,0.02,53.98
123,Baseline,PGD-5,0.03,37.91
123,Baseline,PGD-5,0.05,15.91
123,Baseline,PGD-5,0.08,3.49
123,Baseline,PGD-5,0.1,1.37
123,Baseline,PGD-5,0.15,0.18
123,Baseline,PGD-5,0.2,0.02
123,Baseline,PGD-5,0.3,0.0
123,Baseline,PGD-20,0.0,86.57
123,Baseline,PGD-20,0.01,71.32
123,Baseline,PGD-20,0.02,52.91
123,Baseline,PGD-20,0.03,35.98
123,Baseline,PGD-20,0.05,13.23
123,Baseline,PGD-20,0.08,2.32
123,Baseline,PGD-20,0.1,0.83
123,Baseline,PGD-20,0.15,0.05
123,Baseline,PGD-20,0.2,0.0
123,Baseline,PGD-20,0.3,0.0
123,FGSM-AT,Clean,0.0,86.07
123,FGSM-AT,FGSM,0.0,86.07
123,FGSM-AT,FGSM,0.01,81.1
123,FGSM-AT,FGSM,0.02,75.94
123,FGSM-AT,FGSM,0.03,70.19
123,FGSM-AT,FGSM,0.05,59.2
123,FGSM-AT,FGSM,0.08,44.68
123,FGSM-AT,FGSM,0.1,36.46
123,FGSM-AT,FGSM,0.15,22.22
123,FGSM-AT,FGSM,0.2,14.03
123,FGSM-AT,FGSM,0.3,6.38
123,FGSM-AT,PGD-5,0.0,86.07
123,FGSM-AT,PGD-5,0.01,80.85
123,FGSM-AT,PGD-5,0.02,74.98
123,FGSM-AT,PGD-5,0.03,68.08
123,FGSM-AT,PGD-5,0.05,53.85
123,FGSM-AT,PGD-5,0.08,33.62
123,FGSM-AT,PGD-5,0.1,23.3
123,FGSM-AT,PGD-5,0.15,7.49
123,FGSM-AT,PGD-5,0.2,1.91
123,FGSM-AT,PGD-5,0.3,0.13
123,FGSM-AT,PGD-20,0.0,86.07
123,FGSM-AT,PGD-20,0.01,80.83
123,FGSM-AT,PGD-20,0.02,74.95
123,FGSM-AT,PGD-20,0.03,67.8
123,FGSM-AT,PGD-20,0.05,53.1
123,FGSM-AT,PGD-20,0.08,31.94
123,FGSM-AT,PGD-20,0.1,21.47
123,FGSM-AT,PGD-20,0.15,5.87
123,FGSM-AT,PGD-20,0.2,1.37
123,FGSM-AT,PGD-20,0.3,0.1
123,PGD-AT,Clean,0.0,84.71
123,PGD-AT,FGSM,0.0,84.71
123,PGD-AT,FGSM,0.01,81.11
123,PGD-AT,FGSM,0.02,76.89
123,PGD-AT,FGSM,0.03,72.42
123,PGD-AT,FGSM,0.05,63.68
123,PGD-AT,FGSM,0.08,50.48
123,PGD-AT,FGSM,0.1,43.52
123,PGD-AT,FGSM,0.15,28.95
123,PGD-AT,FGSM,0.2,19.11
123,PGD-AT,FGSM,0.3,8.6
123,PGD-AT,PGD-5,0.0,84.71
123,PGD-AT,PGD-5,0.01,80.98
123,PGD-AT,PGD-5,0.02,76.29
123,PGD-AT,PGD-5,0.03,71.16
123,PGD-AT,PGD-5,0.05,59.85
123,PGD-AT,PGD-5,0.08,42.53
123,PGD-AT,PGD-5,0.1,32.31
123,PGD-AT,PGD-5,0.15,13.48
123,PGD-AT,PGD-5,0.2,4.65
123,PGD-AT,PGD-5,0.3,0.43
123,PGD-AT,PGD-20,0.0,84.71
123,PGD-AT,PGD-20,0.01,80.96
123,PGD-AT,PGD-20,0.02,76.24
123,PGD-AT,PGD-20,0.03,70.99
123,PGD-AT,PGD-20,0.05,59.33
123,PGD-AT,PGD-20,0.08,41.43
123,PGD-AT,PGD-20,0.1,30.67
123,PGD-AT,PGD-20,0.15,11.5
123,PGD-AT,PGD-20,0.2,3.46
123,PGD-AT,PGD-20,0.3,0.27
7,Baseline,Clean,0.0,86.3
7,Baseline,FGSM,0.0,86.3
7,Baseline,FGSM,0.01,73.98
7,Baseline,FGSM,0.02,60.57
7,Baseline,FGSM,0.03,49.26
7,Baseline,FGSM,0.05,32.93
7,Baseline,FGSM,0.08,19.05
7,Baseline,FGSM,0.1,13.41
7,Baseline,FGSM,0.15,6.99
7,Baseline,FGSM,0.2,4.54
7,Baseline,FGSM,0.3,3.32
7,Baseline,PGD-5,0.0,86.3
7,Baseline,PGD-5,0.01,72.47
7,Baseline,PGD-5,0.02,54.74
7,Baseline,PGD-5,0.03,39.45
7,Baseline,PGD-5,0.05,17.25
7,Baseline,PGD-5,0.08,4.33
7,Baseline,PGD-5,0.1,1.39
7,Baseline,PGD-5,0.15,0.06
7,Baseline,PGD-5,0.2,0.01
7,Baseline,PGD-5,0.3,0.0
7,Baseline,PGD-20,0.0,86.3
7,Baseline,PGD-20,0.01,72.29
7,Baseline,PGD-20,0.02,53.72
7,Baseline,PGD-20,0.03,37.58
7,Baseline,PGD-20,0.05,14.57
7,Baseline,PGD-20,0.08,2.81
7,Baseline,PGD-20,0.1,0.69
7,Baseline,PGD-20,0.15,0.02
7,Baseline,PGD-20,0.2,0.0
7,Baseline,PGD-20,0.3,0.0
7,FGSM-AT,Clean,0.0,85.81
7,FGSM-AT,FGSM,0.0,85.81
7,FGSM-AT,FGSM,0.01,81.25
7,FGSM-AT,FGSM,0.02,76.25
7,FGSM-AT,FGSM,0.03,70.63
7,FGSM-AT,FGSM,0.05,59.8
7,FGSM-AT,FGSM,0.08,45.16
7,FGSM-AT,FGSM,0.1,37.42
7,FGSM-AT,FGSM,0.15,22.88
7,FGSM-AT,FGSM,0.2,14.6
7,FGSM-AT,FGSM,0.3,6.75
7,FGSM-AT,PGD-5,0.0,85.81
7,FGSM-AT,PGD-5,0.01,81.12
7,FGSM-AT,PGD-5,0.02,75.37
7,FGSM-AT,PGD-5,0.03,68.6
7,FGSM-AT,PGD-5,0.05,54.45
7,FGSM-AT,PGD-5,0.08,34.47
7,FGSM-AT,PGD-5,0.1,23.94
7,FGSM-AT,PGD-5,0.15,7.87
7,FGSM-AT,PGD-5,0.2,2.23
7,FGSM-AT,PGD-5,0.3,0.2
7,FGSM-AT,PGD-20,0.0,85.81
7,FGSM-AT,PGD-20,0.01,81.12
7,FGSM-AT,PGD-20,0.02,75.31
7,FGSM-AT,PGD-20,0.03,68.34
7,FGSM-AT,PGD-20,0.05,53.79
7,FGSM-AT,PGD-20,0.08,32.91
7,FGSM-AT,PGD-20,0.1,22.03
7,FGSM-AT,PGD-20,0.15,6.43
7,FGSM-AT,PGD-20,0.2,1.59
7,FGSM-AT,PGD-20,0.3,0.1
7,PGD-AT,Clean,0.0,84.06
7,PGD-AT,FGSM,0.0,84.06
7,PGD-AT,FGSM,0.01,80.01
7,PGD-AT,FGSM,0.02,75.7
7,PGD-AT,FGSM,0.03,71.45
7,PGD-AT,FGSM,0.05,62.44
7,PGD-AT,FGSM,0.08,49.51
7,PGD-AT,FGSM,0.1,42.49
7,PGD-AT,FGSM,0.15,27.51
7,PGD-AT,FGSM,0.2,18.57
7,PGD-AT,FGSM,0.3,9.45
7,PGD-AT,PGD-5,0.0,84.06
7,PGD-AT,PGD-5,0.01,79.91
7,PGD-AT,PGD-5,0.02,75.18
7,PGD-AT,PGD-5,0.03,70.29
7,PGD-AT,PGD-5,0.05,58.92
7,PGD-AT,PGD-5,0.08,41.51
7,PGD-AT,PGD-5,0.1,30.86
7,PGD-AT,PGD-5,0.15,13.45
7,PGD-AT,PGD-5,0.2,5.02
7,PGD-AT,PGD-5,0.3,0.59
7,PGD-AT,PGD-20,0.0,84.06
7,PGD-AT,PGD-20,0.01,79.92
7,PGD-AT,PGD-20,0.02,75.13
7,PGD-AT,PGD-20,0.03,70.17
7,PGD-AT,PGD-20,0.05,58.38
7,PGD-AT,PGD-20,0.08,40.37
7,PGD-AT,PGD-20,0.1,29.39
7,PGD-AT,PGD-20,0.15,11.41
7,PGD-AT,PGD-20,0.2,3.76
7,PGD-AT,PGD-20,0.3,0.31
